liked,duration_ms,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo
True,206667,0.565,0.683,0,-5.77,1,0.0271,7.69e-05,0.114,0.353,174.073
True,216435,0.598,0.173,9,-15.621,0,0.924,0.908,0.127,0.132,89.98
False,224728,0.673,0.813,3,-4.928,0,0.0241,0.000271,0.104,0.529,95.026
True,181674,0.61,0.731,8,-5.187,1,0.0281,0.0,0.272,0.724,97.935
True,222319,0.536,0.695,11,-6.196,0,0.00454,0.0,0.116,0.245,153.727
True,99310,0.557,0.246,8,-11.289,1,0.486,0.904,0.111,0.27,174.063
False,222347,0.639,0.791,10,-4.443,0,0.0275,0.0,0.362,0.939,92.603
True,175307,0.727,0.807,1,-3.226,0,0.0896,0.0,0.0796,0.54,159.969
True,180449,0.634,0.696,3,-4.76,0,0.405,0.0,0.119,0.366,73.01
True,321147,0.316,0.769,0,-5.283,0,0.0142,0.0,0.0928,0.127,122.507
False,233533,0.59,0.579,2,-6.862,0,0.605,0.0,0.17,0.578,85.897
False,171387,0.769,0.678,2,-5.604,1,0.00838,0.0,0.0596,0.706,85.025
False,219442,0.767,0.615,1,-4.608,1,0.105,0.0,0.0668,0.61,126.56
True,160991,0.564,0.904,7,-3.808,1,0.00719,0.0,0.528,0.637,124.102
True,211453,0.613,0.739,10,-6.478,1,0.526,0.0,0.149,0.712,104.966
False,180760,0.654,0.528,6,-6.224,0,0.0599,7.14e-05,0.0975,0.376,82.014
True,221693,0.619,0.901,11,-4.173,0,0.0975,0.0455,0.178,0.503,123.002
True,194307,0.718,0.79,6,-4.861,0,0.0453,0.0,0.0739,0.605,151.072
False,203667,0.609,0.861,4,-5.26,1,0.00599,0.0,0.0924,0.53,139.914
True,231212,0.559,0.777,1,-5.031,1,0.31,0.0,0.105,0.329,87.016
False,163001,0.867,0.509,7,-4.884,0,0.0295,0.0,0.0424,0.684,100.998
True,192520,0.534,0.815,5,-2.815,1,0.708,0.0,0.111,0.564,159.848
False,199600,0.756,0.633,0,-7.884,1,0.201,0.165,0.184,0.415,118.99
True,293120,0.525,0.681,6,-4.158,0,0.195,0.0,0.141,0.437,151.875
True,204827,0.534,0.563,7,-7.845,0,0.181,0.0,0.0525,0.291,102.999
False,245200,0.633,0.357,5,-9.366,0,0.105,0.0,0.133,0.674,104.938
True,201013,0.594,0.819,1,-5.199,1,0.00702,1.13e-05,0.0707,0.493,121.064
True,163841,0.68,0.774,1,-3.136,0,0.101,0.0,0.113,0.331,102.949
True,185413,0.394,0.8,4,-4.17,0,0.0266,0.0,0.184,0.525,162.053
False,187107,0.781,0.619,0,-7.336,1,0.0904,0.000483,0.151,0.732,117.988
True,157422,0.552,0.573,9,-6.585,1,0.0463,0.0,0.105,0.525,182.14
True,253093,0.616,0.811,7,-4.804,1,0.0573,1.57e-05,0.0566,0.913,159.929
True,172686,0.675,0.847,11,-4.011,0,0.143,0.0,0.157,0.207,120.959
True,175424,0.421,0.653,9,-4.85,0,0.0135,0.0,0.114,0.733,78.6
False,260773,0.383,0.637,3,-6.993,1,0.0722,0.0,0.368,0.0827,177.913
True,189531,0.705,0.723,6,-5.177,0,0.0641,1.06e-05,0.458,0.378,98.058
True,160107,0.692,0.692,2,-6.065,1,0.189,0.0,0.0884,0.75,153.255
False,194187,0.493,0.644,1,-5.461,1,0.0122,2.16e-05,0.101,0.535,128.708
True,224107,0.588,0.722,6,-4.667,1,0.0663,0.0,0.0721,0.243,145.931
True,219080,0.681,0.865,1,-4.132,0,0.00464,0.00169,0.149,0.528,91.017
True,176561,0.723,0.809,7,-3.081,0,0.00346,0.00123,0.565,0.274,98.007
False,157067,0.878,0.619,6,-5.56,1,0.0533,0.0,0.113,0.639,136.041
True,149640,0.509,0.93,0,-2.689,0,0.00137,0.0,0.152,0.783,154.95
True,191493,0.764,0.618,5,-5.492,0,0.0596,0.0,0.194,0.655,140.09
True,214150,0.615,0.814,9,-3.903,0,0.17,0.0,0.218,0.577,144.005
True,127385,0.5,0.587,5,-11.945,1,0.745,0.949,0.0804,0.0781,75.276
True,205360,0.68,0.785,7,-6.685,0,0.0829,0.00557,0.275,0.436,124.003
True,282922,0.865,0.549,9,-7.594,1,0.181,0.0,0.123,0.165,104.043
False,229360,0.72,0.802,1,-5.797,1,0.0921,0.0,0.694,0.723,124.043
True,337560,0.775,0.585,10,-9.516,0,0.0422,0.619,0.077,0.518,109.942
False,155000,0.767,0.745,11,-7.14,1,0.265,0.0,0.158,0.577,89.663
True,170297,0.713,0.592,4,-4.621,0,0.181,0.0,0.338,0.619,106.013
True,281083,0.499,0.826,9,-7.082,0,0.00095,0.029,0.122,0.427,140.007
True,278715,0.546,0.606,0,-4.158,1,0.0255,0.0,0.1,0.413,129.996
True,203630,0.874,0.487,2,-8.154,1,0.393,2.96e-05,0.0524,0.746,144.956
True,198133,0.754,0.608,11,-4.658,0,0.0111,0.0,0.22,0.727,90.035
True,203467,0.753,0.801,4,-3.215,1,0.403,0.0,0.128,0.794,128.011
False,162886,0.921,0.748,1,-5.093,1,0.00908,0.0,0.0798,0.801,139.979
True,187597,0.647,0.581,1,-6.527,1,0.312,0.0,0.322,0.439,76.966
True,194204,0.477,0.51,2,-8.94,1,0.228,0.0,0.0755,0.477,111.893
True,188057,0.656,0.756,2,-4.026,0,0.435,0.0,0.0934,0.645,168.031
True,301714,0.786,0.808,7,-3.702,1,0.0846,0.000289,0.0822,0.609,105.027
True,191320,0.653,0.711,9,-6.454,1,0.109,0.0,0.443,0.769,160.048
False,179405,0.931,0.387,1,-9.127,1,0.088,0.0,0.136,0.376,125.978
False,174983,0.567,0.696,9,-5.416,1,0.456,0.0,0.113,0.544,92.061
True,212067,0.455,0.897,9,-4.879,1,0.0183,0.0,0.174,0.728,160.139
True,131000,0.797,0.0832,11,-12.673,1,0.484,0.81,0.239,0.51,160.048
True,202053,0.845,0.509,7,-7.294,1,0.224,0.0,0.171,0.282,123.067
True,203520,0.645,0.891,6,-2.505,0,0.0932,3.88e-06,0.379,0.568,124.915
False,193200,0.552,0.402,11,-7.431,1,0.676,0.0,0.0928,0.382,103.313
True,219307,0.431,0.87,0,-6.993,0,0.00566,0.0,0.304,0.737,124.444
True,229480,0.39,0.886,2,-3.234,1,0.0908,0.0,0.441,0.297,175.193
True,177670,0.732,0.856,11,-2.2,0,0.0828,0.0,0.323,0.771,145.034
False,235387,0.54,0.557,4,-4.858,1,0.472,0.0,0.308,0.426,88.954
True,186373,0.65,0.653,5,-7.228,0,0.0439,0.0,0.131,0.527,80.861
True,230361,0.795,0.806,0,-4.516,1,0.166,0.0,0.117,0.652,96.032
True,259110,0.533,0.508,0,-9.49,1,0.145,0.0,0.109,0.137,139.905
True,157202,0.802,0.645,5,-6.181,0,0.272,0.0,0.119,0.376,100.001
False,214381,0.677,0.577,2,-7.955,1,0.352,0.0389,0.148,0.166,104.711
False,312820,0.834,0.73,8,-3.714,1,0.00513,0.0,0.124,0.446,155.008
True,220707,0.669,0.828,8,-5.375,0,0.0214,0.00257,0.125,0.739,120.031
